ID,emotion
1,0
2,0
3,0
4,4
5,3
6,3
7,4
8,4
9,3
10,2
11,3
12,0
13,0
14,2
15,6
16,5
17,2
18,5
19,5
20,3
21,5
22,5
23,4
24,4
25,0
26,6
27,4
28,0
29,0
30,5
31,3
32,6
33,3
34,6
35,6
36,2
37,6
38,2
39,6
40,3
41,0
42,4
43,0
44,6
45,6
46,3
47,5
48,3
49,5
50,6
51,6
52,3
53,5
54,6
55,4
56,3
57,2
58,2
59,5
60,3
61,6
62,3
63,4
64,5
65,5
66,3
67,5
68,0
69,0
70,6
71,6
72,5
73,6
74,3
75,2
76,6
77,5
78,6
79,4
80,4
81,0
82,0
83,0
84,3
85,5
86,4
87,3
88,3
89,5
90,3
91,6
92,2
93,3
94,6
95,0
96,0
97,2
98,3
99,3
100,0
101,3
102,6
103,0
104,3
105,2
106,3
107,6
108,6
109,5
110,3
111,3
112,0
113,0
114,6
115,3
116,2
117,3
118,6
119,2
120,6
121,5
122,6
123,0
124,2
125,4
126,6
127,3
128,0
129,5
130,5
131,2
132,6
133,2
134,6
135,5
136,5
137,5
138,3
139,6
140,6
141,0
142,3
143,0
144,2
145,4
146,3
147,3
148,3
149,3
150,2
151,4
152,0
153,2
154,3
155,5
156,5
157,4
158,5
159,0
160,3
161,0
162,3
163,3
164,3
165,0
166,6
167,6
168,4
169,5
170,0
171,6
172,4
173,5
174,6
175,0
176,6
177,4
178,0
179,4
180,5
181,0
182,3
183,2
184,3
185,3
186,4
187,4
188,3
189,3
190,3
191,4
192,0
193,5
194,5
195,3
196,4
197,5
198,6
199,0
200,4
201,3
202,3
203,0
204,3
205,3
206,5
207,4
208,4
209,2
210,6
211,6
212,4
213,0
214,4
215,4
216,5
217,5
218,4
219,4
220,3
221,3
222,4
223,5
224,4
225,0
226,3
227,5
228,0
229,0
230,3
231,6
232,6
233,5
234,2
235,3
236,3
237,3
238,0
239,0
240,6
241,3
242,6
243,6
244,0
245,1
246,3
247,3
248,3
249,0
250,0
251,6
252,2
253,2
254,3
255,3
256,6
257,5
258,4
259,4
260,6
261,4
262,0
263,0
264,6
265,2
266,0
267,0
268,3
269,3
270,4
271,6
272,4
273,0
274,3
275,5
276,3
277,4
278,5
279,4
